#,H2,H3,H4,Genre,Aspect,Topic,Tooltip Header,"Char Count",Concatenated Title for Telegram Pin,Blurb 310/368 (84% Complete),"Char Count",Liner Type,Reviewed ###,###,###,###,# Text Template,Template,Template,Template: Template,18,# Text Template:- Template - Template,"37 Characters fit into one single line. 74 Characters fit into a double liner. 111 Characters take up a three liner. 148 Characters take up four line text.",155,OVERSIZED,
C01-01-01,1,1,1,Conventions,General,Facts,General: Facts,14,Conventions:- General - Facts,"The first Convention was Confurence 0 on Jan 21st 1989, hosting 65 attendees.",77,3 LINER,DONE
C01-01-02,1,1,2,Conventions,General,Facts,General: Facts,14,Conventions:- General - Facts,Conventions raise considerable amounts for nominated Charities.,63,2 LINER,DONE
C01-01-03,1,1,3,Conventions,General,Facts,General: Facts,14,Conventions:- General - Facts,Having a Fursuit is not a pre-requisite to attending a Convention.,66,2 LINER,DONE
C02-01-01,2,1,1,Conventions,Registering,Readiness,Registering: Readiness,22,Conventions:- Registering - Readiness,"If you are new to Conventions, attend a smaller Event first so as not to be overwhelmed.",88,3 LINER,DONE
C02-02-01,2,2,1,Conventions,Registering,Budget,Registering: Budget,19,Conventions:- Registering - Budget,Opting to attend a Convention closer to you will save on travel costs.,70,2 LINER,DONE
C02-02-02,2,2,2,Conventions,Registering,Budget,Registering: Budget,19,Conventions:- Registering - Budget,Be sensible with Convention planning by attending Events within your budget/leave allowance.,92,3 LINER,DONE
C02-03-01,2,3,1,Conventions,Registering,Pre-registration,Registering: Pre-registration,29,Conventions:- Registering - Pre-registration,"Pre-registering will avoid the requirement to pay an increased rate ""at the door"".",82,3 LINER,DONE
C02-03-02,2,3,2,Conventions,Registering,Pre-registration,Registering: Pre-registration,29,Conventions:- Registering - Pre-registration,"Established Convention room allocations can be sold in minutes, so be online when Registration opens for the best chance of getting one.",136,4 LINER,DONE
C02-04-01,2,4,1,Conventions,Registering,Sponsorship,Registering: Sponsorship,24,Conventions:- Registering - Sponsorship,Being a Convention Sponsor allows priority access/early seating to Events.,74,2 LINER,DONE
C02-05-01,2,5,1,Conventions,Registering,Cancellations,Registering: Cancellations,26,Conventions:- Registering - Cancellations,Convention forums can be a good way to recover some outlay by selling your ticket if you are unable to attend.,110,3 LINER,DONE
C03-01-01,3,1,1,Conventions,Travel,Planning,Travel: Planning,16,Conventions:- Travel - Planning,Book travel early to take advantage of lower price points.,58,2 LINER,DONE
C03-01-02,3,1,2,Conventions,Travel,Planning,Travel: Planning,16,Conventions:- Travel - Planning,Split the cost by sharing a ride to a Convention with a friend.,63,2 LINER,DONE
C03-01-03,3,1,3,Conventions,Travel,Planning,Travel: Planning,16,Conventions:- Travel - Planning,Don't leave packing to the last minute as the day of travel is usually stressful enough as it is.,97,3 LINER,DONE
C03-01-04,3,1,4,Conventions,Travel,Planning,Travel: Planning,16,Conventions:- Travel - Planning,Make a list of everything you need to pack and run a last check prior to departing.,83,3 LINER,DONE
C03-01-05,3,1,5,Conventions,Travel,Planning,Travel: Planning,16,Conventions:- Travel - Planning,Arrive early to the airport before check-in to safeguard against transport delays.,82,3 LINER,DONE
C03-02-01,3,2,1,Conventions,Travel,Security of Belongings,Travel: Security of Belongings,30,Conventions:- Travel - Security of Belongings,Tether luggage with a bicycle lock to prevent theft during transport.,69,2 LINER,DONE
C04-01-01,4,1,1,Conventions,Attending,Check In,Attending: Check In,19,Conventions:- Attending - Check In,Minimise traffic and check in queues by taking advantage of early arrival attendance options.,93,3 LINER,DONE
C04-01-02,4,1,2,Conventions,Attending,Check In,Attending: Check In,19,Conventions:- Attending - Check In,"To avoid being stranded with your belongings in the lobby, be aware of Hotel Check In times and plan accordingly.",113,4 LINER,DONE
C04-02-01,4,2,1,Conventions,Attending,Conduct,Attending: Conduct,18,Conventions:- Attending - Conduct,"Don't disrespect the Convention Venue, its Staff, or its Guests.",64,2 LINER,DONE
C04-02-02,4,2,2,Conventions,Attending,Conduct,Attending: Conduct,18,Conventions:- Attending - Conduct,"Conventions are almost entirely run by volunteer Staff Members, so be polite/respect they have given up their own time to be there for you.",139,4 LINER,DONE
C04-02-03,4,2,3,Conventions,Attending,Conduct,Attending: Conduct,18,Conventions:- Attending - Conduct,Treat attendees in a manner you would want to be treated yourself.,66,2 LINER,DONE
C04-02-04,4,2,4,Conventions,Attending,Conduct,Attending: Conduct,18,Conventions:- Attending - Conduct,"Don't discriminate other attendee interests, everyone is entitled to engage in activities within the rules of the Convention.",125,4 LINER,DONE
C04-02-05,4,2,5,Conventions,Attending,Conduct,Attending: Conduct,18,Conventions:- Attending - Conduct,Keep promiscuity behind closed doors to preserve Fandom reputation.,67,2 LINER,DONE
C04-03-01,4,3,1,Conventions,Attending,Safety,Attending: Safety,17,Conventions:- Attending - Safety,Familiarise yourself with Venue evacuation protocols in case of emergency.,74,2 LINER,DONE
C04-03-02,4,3,2,Conventions,Attending,Safety,Attending: Safety,17,Conventions:- Attending - Safety,Keep doorways and walkways clear as these areas support Venue egress should an incident occur.,94,3 LINER,DONE
C04-04-01,4,4,1,Conventions,Attending,Survival Tips,Attending: Survival Tips,24,Conventions:- Attending - Survival Tips,"The 6-2-1 rule is a good guideline at Conventions (at least: 6 Hrs of Sleep, 2 Meals, & 1 Shower per Day).",106,3 LINER,DONE
